graph_name,balance,number_of_nodes,number_of_edges,node_of_max_density_subgraph,average_clustering,degree_assortativity_coefficient,local_efficiency,global_efficiency,diameter,average_shortest_path_length,wiener_index
complete-graph-0134_1,False,538,1337,0.2174721189591078,0.044008903116709776,0.5517610985232017,0.05412527287527288,0.22782669795647276,8,4.842813925636713,699559.0
complete-graph-0135_0,True,324,689,0.9012345679012346,0.047560258671369766,-0.09096968435837899,0.049755046051342317,0.24104575770117792,9,4.7063792378549865,246266.0
complete-graph-0135_1,False,624,1513,0.1907051282051282,0.03834143064912293,0.5009132729911043,0.04831464564637643,0.22092245654095674,9,4.971349343540354,966311.0
complete-graph-0136_0,True,513,1356,0.47368421052631576,0.046140463391925346,0.22986613982016996,0.05182734473670148,0.23800305704890662,9,4.7386695906432745,622320.0
complete-graph-0136_1,False,664,2219,0.09036144578313253,0.041073835802751424,0.3430963611012604,0.059121879487090294,0.24798180597239006,11,4.636050991295499,1020469.0
complete-graph-0137_0,True,1608,4077,0.47450248756218905,0.05173003130092697,0.22019252111524318,0.05582214737998333,0.17755945533083337,11,6.293499057295972,8131377.0
complete-graph-0137_1,False,679,1922,0.37702503681885124,0.05508623270037111,0.5100109345325571,0.07284561082215199,0.21823715436318455,9,5.093856573739796,1172509.0
complete-graph-0138_0,True,432,1036,0.25,0.04986588771310995,0.18907181092819073,0.053087338330393904,0.23781452854247617,9,4.741148921543353,441382.0
complete-graph-0138_1,False,535,1315,0.06728971962616823,0.06599659335228325,0.6534577163894677,0.08872366553894873,0.22101179433522164,9,5.011032937799713,715801.0
complete-graph-0139_0,True,688,1751,0.5,0.03983040538273097,0.21677577980147272,0.042192285535308814,0.22780058539791617,9,4.904624081784639,1159100.0
complete-graph-0139_1,False,618,1936,0.09546925566343042,0.03653854236378503,0.05142370919648131,0.042178866770290695,0.2507785835297462,9,4.497222703025916,857409.0
complete-graph-013_0,True,150,322,0.9266666666666666,0.11338095238095235,0.037861144156069455,0.12517460317460316,0.28655342494936065,8,4.05324384787472,45295.0
complete-graph-013_1,False,788,1812,0.22588832487309646,0.045495036548336094,0.1825476526347432,0.05162424703985623,0.18817191447206086,13,6.071146614722747,1882529.0
complete-graph-0140_0,True,696,1889,0.6436781609195402,0.06082541341162032,0.15750363563507633,0.06960869125021428,0.21955297502520071,10,5.192350946828744,1255822.0
complete-graph-0140_1,False,760,2622,0.06842105263157895,0.05029080933686198,0.3280838193106486,0.07193071298827886,0.24884784837575338,8,4.452160044379724,1284092.0
complete-graph-0141_0,True,490,990,0.8142857142857143,0.03978943958535795,-0.09521849452626242,0.040903790087463573,0.2069837563117665,11,5.562263678477526,666387.0
complete-graph-0141_1,False,864,2563,0.14930555555555555,0.06801933183162766,0.6362294046470434,0.09812285175246681,0.2027973266474522,11,5.491990687094974,2047502.0
complete-graph-0142_0,True,368,764,0.8913043478260869,0.06050724637681158,-0.13835448863799546,0.06373468771566596,0.2339042252669554,9,4.806791256960076,324593.0
complete-graph-0142_1,False,856,2376,0.07009345794392523,0.048882675415110814,0.5668571195712546,0.0731586940045645,0.205824589814892,9,5.355282286713669,1959712.0
complete-graph-0143_0,True,1608,3673,0.25,0.01955980379487844,0.17781794523742436,0.020108400099071777,0.16893778053924485,11,6.601645629970868,8529511.0
complete-graph-0143_1,False,690,2260,0.12028985507246377,0.05499564043042301,0.3695766751641241,0.08239755802436963,0.25151654227921805,9,4.428203024757578,1052606.0
complete-graph-0144_0,True,618,1559,0.5,0.0493381573478661,0.19887775221800635,0.05415983692682723,0.22350865101087067,10,5.118046922943777,975771.0
complete-graph-0144_1,False,764,2177,0.13089005235602094,0.06710462675776822,0.6382037724194768,0.08807949535090533,0.2043863239129605,10,5.476103559248763,1596098.0
complete-graph-0145_0,True,490,1252,0.5,0.03549606855729301,0.1645593440261936,0.039869320022381215,0.2467009088179849,8,4.5425399607695836,544219.0
complete-graph-0145_1,False,713,2037,0.12482468443197756,0.04271395285131768,0.5916320275797169,0.059788812664820355,0.19643681475901972,12,5.919295743574389,1502483.0
complete-graph-0146_0,True,513,1112,0.9044834307992202,0.046778984498282744,-0.09516959019074633,0.047631424239611385,0.22139749390302838,9,5.030145894249513,660599.0
complete-graph-0146_1,False,784,1948,0.061224489795918366,0.04627845227335023,0.38097160171876754,0.05579090245544329,0.20231424078448107,10,5.480233664346965,1682081.0
complete-graph-0147_0,True,688,1739,0.5,0.043914749656028755,0.18166602167883186,0.04588887910108843,0.22354976746038058,10,5.052562540198369,1194062.0
complete-graph-0147_1,False,986,3636,0.1744421906693712,0.05908414044823793,0.3510420281616093,0.07905088938557503,0.21637048802514408,11,5.3060059101533135,2576623.0
complete-graph-0148_0,True,927,2513,0.6407766990291263,0.04947985012709951,0.16949107754107556,0.057146139050130614,0.2107766135995607,10,5.336814219910951,2290566.0
complete-graph-0148_1,False,855,2369,0.04093567251461988,0.052427153742943246,0.5255979454706311,0.07404960044287535,0.19062037253924274,11,5.957941301340783,2175155.0
complete-graph-0149_0,True,1236,3130,0.47815533980582525,0.04692661707224827,0.2503233086762007,0.04970024057807244,0.18171130824361031,12,6.282389319078129,4794908.0
complete-graph-0149_1,False,596,1388,0.15436241610738255,0.033786841421069594,0.48471381346053877,0.04738442284163762,0.21544796665818253,10,5.155044836726637,914041.0
complete-graph-014_0,True,1200,2462,0.9041666666666667,0.11063492063492056,-0.037116162767811975,0.12176521164021148,0.16536221437534093,12,6.717899638587712,4832857.0
complete-graph-014_1,False,601,1319,0.13810316139767054,0.04028723171818011,0.17931574352846463,0.04374905460595978,0.21266109834528185,10,5.212440377149195,939803.0
complete-graph-0150_0,True,1244,3192,0.4734726688102894,0.039108743168228835,0.21368333074331922,0.04190886968218172,0.19352629304949048,10,5.742674734138183,4439926.0
complete-graph-0150_1,False,570,1277,0.11403508771929824,0.04205350205350203,0.4617711743527968,0.06005150664799787,0.21479223168367054,11,5.196756390096507,842732.0
complete-graph-0151_0,True,256,668,0.5,0.053400917658730104,0.20675744582513772,0.058945622519841236,0.2888108368348181,7,3.9120404411764707,127689.0
complete-graph-0151_1,False,780,2254,0.1141025641025641,0.05048876337337878,0.6492278829666428,0.07628285861642094,0.2138680072598345,10,5.171824495572891,1571252.0
complete-graph-0152_0,True,513,1212,0.24951267056530213,0.051599256277618855,0.12058310538189289,0.0578311894588698,0.22694113514829858,10,4.955386513157895,650781.0
complete-graph-0152_1,False,868,2387,0.04723502304147465,0.07025628621250747,0.6114511535093339,0.10576087132202727,0.1967152452379528,10,5.664793051945636,2131537.0
complete-graph-0153_0,True,179,479,0.329608938547486,0.05837545446483988,0.14520031439416103,0.06613645768673697,0.32363316803718345,6,3.4828949846211787,55486.0
complete-graph-0153_1,False,821,3049,0.14494518879415347,0.08185540197207637,0.43792997399801975,0.11556098390890919,0.23409047043764733,9,4.819072517156353,1622148.0
complete-graph-0154_0,True,1244,3502,0.7258842443729904,0.05348292293629934,0.1282386544305822,0.060016274365149176,0.2015335134155318,10,5.527976604677512,4273933.0
complete-graph-0154_1,False,778,2169,0.10539845758354756,0.06799119903233021,0.6295054403178015,0.09678880245718305,0.20670759553394322,10,5.373686944381032,1624213.0
complete-graph-0155_0,True,433,1035,0.24942263279445728,0.05135452179332084,0.19811042937334997,0.05566003152608231,0.23112064819224448,9,4.911887349243007,459399.0
complete-graph-0155_1,False,728,2400,0.22664835164835165,0.06575871472849497,0.17068518334707375,0.08831047348561087,0.250413142101951,9,4.398310080565927,1163916.0
complete-graph-0156_0,True,696,1427,0.8448275862068966,0.02357690202517787,-0.11104677759915907,0.024007936507936492,0.19404464158134274,11,5.815930703712891,1406641.0
complete-graph-0156_1,False,664,2169,0.2319277108433735,0.0543037033247877,0.15965559640960367,0.06282574276738441,0.25849386016342857,8,4.269053589925312,939687.0
complete-graph-0157_0,True,933,2524,0.6452304394426581,0.059269389655241915,0.18601691658010788,0.06868971061093264,0.20859102642288638,10,5.402083362083638,2348707.0
complete-graph-0157_1,False,775,2281,0.07741935483870968,0.07663110366336193,0.5641846850922476,0.09517540786573048,0.2051724191265439,11,5.486524964574477,1645546.0
complete-graph-0158_0,True,237,593,0.2489451476793249,0.08127385975487236,0.1305200944861848,0.0919178219811131,0.27850944854815834,7,4.081599084602732,114146.0
complete-graph-0158_1,False,765,2014,0.11633986928104575,0.04502144913909621,0.6721269235915551,0.06270957860827142,0.20948575648956433,9,5.267556376826472,1539338.0
complete-graph-0159_0,True,433,1276,0.4665127020785219,0.06308649010727527,0.16603284646967742,0.07348741733845662,0.26258192097268646,8,4.299600119750235,402133.0
complete-graph-0159_1,False,688,1853,0.23837209302325582,0.06501917817324811,0.4845687277607453,0.08289459060534655,0.20532685975004056,10,5.51389170982702,1303087.0
